Name,Province,2000,2010,2020
Chibombo,Central,154235,199536,250702
Chisamba,Central,87377,103983,130647
Chitambo,Central,40786,48861,61348
Itezhi-Tezhi,Central,43111,68599,104856
Kabwe,Central,176758,202360,234055
Kapiri Mposhi,Central,178404,232548,301722
Luano,Central,13853,25548,36082
Mkushi,Central,93585,128986,182171
Mumbwa,Central,122041,173311,242480
Ngabwe,Central,16348,21238,27556
Serenje,Central,92050,117880,148006
Shibuyunji,Central,36820,52860,73957
Chililabombwe,Copperbelt,67533,91833,130031
Chingola,Copperbelt,172026,216626,286864
Kalulushi,Copperbelt,75806,100381,138882
Kitwe,Copperbelt,376124,517543,738320
Luanshya,Copperbelt,147908,156059,176798
Lufwanyama,Copperbelt,63185,78503,102755
Masaiti,Copperbelt,95581,103857,120864
Mpongwe,Copperbelt,64371,93380,139764
Mufulira,Copperbelt,143930,162889,196401
Ndola,Copperbelt,374757,451246,574437
Chadiza,Eastern,49345,62742,78375
Chipata,Eastern,367539,455783,554230
Katete,Eastern,123912,160985,202507
Lundazi,Eastern,236833,323870,428776
Mambwe,Eastern,47376,68918,96322
Nyimba,Eastern,70425,85025,101046
Petauke,Eastern,185598,241056,306681
Sinda,Eastern,115619,149697,188308
Vubwi,Eastern,34636,44585,55694
Chembe,Luapula,29110,23394,28919
Chienge,Luapula,83824,114225,150892
Chipili,Luapula,27389,32565,36584
Kawambwa,Luapula,66957,89120,113881
Lunga,Luapula,19078,24005,28713
Mansa,Luapula,150639,204998,253414
Milenge,Luapula,28790,43337,64713
Mwansabombwe,Luapula,35546,45294,57879
Mwense,Luapula,78370,87276,98046
Nchelenge,Luapula,111119,152807,203432
Samfya,Luapula,144531,174906,209209
Chilanga,Lusaka,56673,107051,152824
Chirundu,Lusaka,29671,47344,70008
Chongwe,Lusaka,100281,141301,188091
Kafue,Lusaka,93544,120415,171902
Luangwa,Lusaka,18948,24304,30007
Lusaka,Lusaka,1084703,1747152,2627716
Rufunsa,Lusaka,37180,51002,67890
Chama,Muchinga,74890,103894,155281
Chinsali,Muchinga,74039,86723,108426
Isoka,Muchinga,57239,72189,99271
Mafinga,Muchinga,42080,65969,109504
Mpika,Muchinga,146196,203379,304708
Nakonde,Muchinga,75135,119708,201047
Shiwangandu,Muchinga,54607,59795,74759
Chavuma,North-Western,29941,35041,42166
Ikelenge,North-Western,31487,32919,35876
Kabompo,North-Western,34476,44180,58111
Kasempa,North-Western,51904,69608,94320
Manyinga,North-Western,36762,48141,63321
Mufumbwe,North-Western,44002,58062,77587
Mwinilunga,North-Western,86018,104317,129523
Solwezi,North-Western,203797,254470,324194
Zambezi,North-Western,64963,80306,101387
Chilubi,Northern,66338,81248,96703
Kaputa,Northern,44888,70881,94574
Kasama,Northern,170929,231824,306462
Luwingu,Northern,80758,122136,179554
Mbala,Northern,149634,203129,268774
Mporokoso,Northern,73929,98842,129062
Mpulungu,Northern,67602,98073,137480
Mungwi,Northern,112977,151058,197231
Nsama,Northern,42345,48633,64890
Chikankanta,Southern,58615,59909,68170
Choma,Southern,147869,180673,217385
Gwembe,Southern,34133,53117,79607
Kalomo,Southern,131971,188693,277172
Kazungula,Southern,68265,104731,154995
Livingstone,Southern,103288,139509,185003
Mazabuka,Southern,144604,171063,194653
Monze,Southern,163578,191872,224680
Namwala,Southern,82810,102866,126775
Pemba,Southern,57029,67187,80839
Siavonga,Southern,29193,42869,63390
Sinazongwe,Southern,80455,101617,127053
Zimba,Southern,37532,69877,102643
Kalabo,Western,79701,83442,93370
Kaoma,Western,82270,103280,119395
Limulunga,Western,42448,50741,56152
Luampa,Western,44257,43840,50680
Lukulu,Western,48744,58534,72348
Mitete,Western,19631,27468,33951
Mongu,Western,119554,128844,142585
Mulobezi,Western,24513,30482,38038
Mwandi,Western,23176,25054,31265
Nalolo,Western,48731,55569,63981
Nkeyema,Western,36041,42170,48750
Senanga,Western,60388,70937,81676
Sesheke,Western,30480,43848,54717
Shang'ombo,Western,39080,47483,61629
Sikongo,Western,35105,45462,50871
Sioma,Western,30969,45820,59471